#,catalog,Name,Price
13231,КОМПЬЮТЕРНАЯ ТЕХНИКА,Чистящая жидкость для офисной техники CK-1 (18мл.),"8,3"
13224,КОМПЬЮТЕРНАЯ ТЕХНИКА,"Шлейф IDE UDMA -133 (3-connectors), 48CM CC-IDE-100","8,3"
6133,КОМПЬЮТЕРНАЯ ТЕХНИКА,Розеточная коробка внешняя 1модульная  JE301/WH  OK-net,"8,3"
21783,КОМПЬЮТЕРНАЯ ТЕХНИКА,MOUSE PAD MP-3DPICTURE400 (3D картинка) 5мм.,"8,3"
19859,КОМПЬЮТЕРНАЯ ТЕХНИКА,"Кабель MINI USB2.0 (A-plug MINI 4PM) 1,8м (CCP-USB2-AM4P-6) (позолоч.)","8,3"
19865,КОМПЬЮТЕРНАЯ ТЕХНИКА,"Кабель S-Video TV plug/TV plug , 1.8м (CCV-516)","8,3"
19854,КОМПЬЮТЕРНАЯ ТЕХНИКА,"Кабель интерфейсный-шлейфSATA,ext(eSATA/eSATA ,0.5м)CC-ESATA-DATA","8,3"
16077,КОМПЬЮТЕРНАЯ ТЕХНИКА,Переходник audio A-2.5M-3.5F (2.5mm male to 3.5mm female) CCAP-2535,"8,3"
39321,КОМПЬЮТЕРНАЯ ТЕХНИКА,"PATCH CORD UTP CAT.5E,0.25м (PP12-0.25M/V) violet","8,6"
43584,КОМПЬЮТЕРНАЯ ТЕХНИКА,"PATCH CORD UTP CAT.5E,0.5м. (PP12-0.5M/V) violet","9,1"
43585,КОМПЬЮТЕРНАЯ ТЕХНИКА,"PATCH CORD UTP CAT.5E,0.5м. (PP12-0.5M/Y) yellow","9,1"
43583,КОМПЬЮТЕРНАЯ ТЕХНИКА,"PATCH CORD UTP CAT.5E,0.5м. (PP12-0.5M/R) red","9,1"
43582,КОМПЬЮТЕРНАЯ ТЕХНИКА,"PATCH CORD UTP CAT.5E,0.5м. (PP12-0.5M/O) orange","9,1"
43581,КОМПЬЮТЕРНАЯ ТЕХНИКА,"PATCH CORD UTP CAT.5E,0.5м. (PP12-0.5M/G) green","9,1"
